ColumnName,Rename,Category,LogY,Units,Better
Undergrad full time,Undergrads (full time),Enrollment,FALSE,,None
Undergrad part time,Undergrads (part time),Enrollment,FALSE,,None
GradStudent full time,Grad students (full time),Enrollment,FALSE,,None
GradStudent part time,Grad students (part time),Enrollment,FALSE,,None
Admission percentage total,Admission rate (undergrads),Enrollment,FALSE,Percent,None
Yield percentage total,Yield rate (percent of applicants offered undergraduate admission who accept),Enrollment,FALSE,Percent,Higher
Graduation Rate Bachelors in within 150 percent of normal time Grand total,Graduation rate (bachelors in 6 years),Enrollment,FALSE,Percent,Higher
Graduation Rate Transfer out of bachelors Grand total,Transfer out rate (bachelors),Enrollment,FALSE,Percent,Lower
Average net price students awarded grant or scholarship aid,Average net price (for students awarded aid),Student financing,FALSE,Dollars,Lower
Percent of full time first time undergraduates awarded federal grant aid,Undergrads getting federal aid,Student financing,FALSE,Percent,Higher
Percent of full time first time undergraduates awarded any financial aid,Undergrads getting any aid,Student financing,FALSE,Percent,Higher
Percent of full time first time undergraduates awarded Pell grants,Undergrads getting Pell grants,Student financing,FALSE,Percent,Higher
Total dormitory capacity,Dorm capacity,Student conditions,FALSE,,None
Full time undergrad enrollment divided by tenure stream faculty,Undergrads per tenure track instructor (lower is better),Teaching,FALSE,,Lower
Full time undergrad enrollment divided by total instructors,Undergrads per instructor (lower is better),Teaching,FALSE,,Lower
Total instructors,Total instructors,Teaching,FALSE,,None
Tenure-stream Grand total,Tenure track instructors,Teaching,FALSE,,None
NTT-stream Grand total,Non-tenure track instructors,Teaching,FALSE,,None
Percent of revenue from tuition and fees,Revenue from tution and fees,Institution finances,FALSE,Percent,Lower
Revenue minus expenses,Revenue minus expenses,Institution finances,FALSE,Dollars,Higher
Total revenues and investment return,Revenue,Institution finances,FALSE,Dollars,None
Total expenses,Expenses,Institution finances,FALSE,Dollars,None
Total assets,Assets,Institution finances,FALSE,Dollars,Higher
Number of physical books,Number of physical books,Library facilities,FALSE,,Higher
